datetime,latitude,longitude,altitude
2026-04-05T13:00:00Z,-25.35183,-51.48156,0.0
2026-04-05T13:01:00Z,-25.35228,-51.48174,245.4
2026-04-05T13:02:00Z,-25.35273,-51.48193,490.8
2026-04-05T13:03:00Z,-25.35318,-51.48211,736.2
2026-04-05T13:04:00Z,-25.35364,-51.48231,981.6
2026-04-05T13:05:00Z,-25.35426,-51.48255,1227.0
2026-04-05T13:06:00Z,-25.35519,-51.48279,1472.4
2026-04-05T13:07:00Z,-25.35627,-51.48269,1717.8
2026-04-05T13:08:00Z,-25.35726,-51.48201,1963.2
2026-04-05T13:09:00Z,-25.35805,-51.48106,2208.6
2026-04-05T13:10:00Z,-25.35865,-51.48003,2454.0
2026-04-05T13:11:00Z,-25.35904,-51.47909,2699.4
2026-04-05T13:12:00Z,-25.35921,-51.47825,2944.8
2026-04-05T13:13:00Z,-25.35917,-51.47753,3190.2
2026-04-05T13:14:00Z,-25.35896,-51.47689,3435.6
2026-04-05T13:15:00Z,-25.35861,-51.47626,3681.0
2026-04-05T13:16:00Z,-25.35816,-51.47554,3926.4
2026-04-05T13:17:00Z,-25.35772,-51.47461,4171.8
2026-04-05T13:18:00Z,-25.35744,-51.47345,4417.2
2026-04-05T13:19:00Z,-25.35747,-51.47210,4662.6
2026-04-05T13:20:00Z,-25.35794,-51.47066,4908.0
2026-04-05T13:21:00Z,-25.35871,-51.46939,5153.4
2026-04-05T13:22:00Z,-25.35962,-51.46835,5398.8
2026-04-05T13:23:00Z,-25.36051,-51.46756,5644.2
2026-04-05T13:24:00Z,-25.36109,-51.46698,5889.6
2026-04-05T13:25:00Z,-25.36137,-51.46658,6135.0
2026-04-05T13:26:00Z,-25.36140,-51.46628,6380.4
2026-04-05T13:27:00Z,-25.36144,-51.46595,6625.8
2026-04-05T13:28:00Z,-25.36156,-51.46547,6871.2
2026-04-05T13:29:00Z,-25.36181,-51.46463,7116.6
2026-04-05T13:30:00Z,-25.36215,-51.46331,7362.0
2026-04-05T13:31:00Z,-25.36252,-51.46137,7607.4
2026-04-05T13:32:00Z,-25.36283,-51.45881,7852.8
2026-04-05T13:33:00Z,-25.36303,-51.45561,8098.2
2026-04-05T13:34:00Z,-25.36312,-51.45191,8343.6
2026-04-05T13:35:00Z,-25.36310,-51.44779,8589.0
2026-04-05T13:36:00Z,-25.36284,-51.44320,8834.4
2026-04-05T13:37:00Z,-25.36222,-51.43813,9079.8
2026-04-05T13:38:00Z,-25.36129,-51.43273,9325.2
2026-04-05T13:39:00Z,-25.36011,-51.42722,9570.6
2026-04-05T13:40:00Z,-25.35866,-51.42160,9816.0
2026-04-05T13:41:00Z,-25.35679,-51.41568,10061.4
2026-04-05T13:42:00Z,-25.35450,-51.40945,10306.8
2026-04-05T13:43:00Z,-25.35193,-51.40280,10552.2
2026-04-05T13:44:00Z,-25.34915,-51.39566,10797.6
2026-04-05T13:45:00Z,-25.34623,-51.38806,11043.0
2026-04-05T13:46:00Z,-25.34370,-51.38030,11288.4
2026-04-05T13:47:00Z,-25.34159,-51.37243,11533.8
2026-04-05T13:48:00Z,-25.33981,-51.36456,11779.2
2026-04-05T13:49:00Z,-25.33803,-51.35709,12024.6
2026-04-05T13:50:00Z,-25.33623,-51.35005,12270.0
2026-04-05T13:51:00Z,-25.33437,-51.34341,12515.4
2026-04-05T13:52:00Z,-25.33213,-51.33690,12760.8
2026-04-05T13:53:00Z,-25.32949,-51.33052,13006.2
2026-04-05T13:54:00Z,-25.32646,-51.32425,13251.6
2026-04-05T13:55:00Z,-25.32327,-51.31783,13497.0
2026-04-05T13:56:00Z,-25.32006,-51.31110,13742.4
2026-04-05T13:57:00Z,-25.31684,-51.30405,13987.8
2026-04-05T13:58:00Z,-25.31360,-51.29672,14233.2
2026-04-05T13:59:00Z,-25.31035,-51.28960,14478.6
2026-04-05T14:00:00Z,-25.30709,-51.28288,14724.0
2026-04-05T14:01:00Z,-25.30383,-51.27656,14969.4
2026-04-05T14:02:00Z,-25.30057,-51.27064,15214.8
2026-04-05T14:03:00Z,-25.29737,-51.26524,15460.2
2026-04-05T14:04:00Z,-25.29432,-51.26055,15705.6
2026-04-05T14:05:00Z,-25.29142,-51.25658,15951.0
2026-04-05T14:06:00Z,-25.28867,-51.25331,16196.4
2026-04-05T14:07:00Z,-25.28607,-51.25075,16441.8
2026-04-05T14:08:00Z,-25.28363,-51.24886,16687.2
2026-04-05T14:09:00Z,-25.28143,-51.24748,16932.6
2026-04-05T14:10:00Z,-25.27949,-51.24659,17178.0
2026-04-05T14:11:00Z,-25.27780,-51.24618,17423.4
2026-04-05T14:12:00Z,-25.27636,-51.24625,17668.8
2026-04-05T14:13:00Z,-25.27518,-51.24679,17914.2
2026-04-05T14:14:00Z,-25.27426,-51.24781,18159.6
2026-04-05T14:15:00Z,-25.27359,-51.24931,18405.0
2026-04-05T14:16:00Z,-25.27318,-51.25126,18650.4
2026-04-05T14:17:00Z,-25.27301,-51.25341,18895.8
2026-04-05T14:18:00Z,-25.27304,-51.25557,19141.2
2026-04-05T14:19:00Z,-25.27329,-51.25773,19386.6
2026-04-05T14:20:00Z,-25.27375,-51.25991,19632.0
2026-04-05T14:21:00Z,-25.27441,-51.26210,19877.4
2026-04-05T14:22:00Z,-25.27528,-51.26430,20122.8
2026-04-05T14:23:00Z,-25.27635,-51.26651,20368.2
2026-04-05T14:24:00Z,-25.27762,-51.26874,20613.6
2026-04-05T14:25:00Z,-25.27898,-51.27116,20859.0
2026-04-05T14:26:00Z,-25.28025,-51.27405,21104.4
2026-04-05T14:27:00Z,-25.28143,-51.27741,21349.8
2026-04-05T14:28:00Z,-25.28254,-51.28125,21595.2
2026-04-05T14:29:00Z,-25.28357,-51.28555,21840.6
2026-04-05T14:30:00Z,-25.28452,-51.29034,22086.0
2026-04-05T14:31:00Z,-25.28539,-51.29560,22331.4
2026-04-05T14:32:00Z,-25.28619,-51.30134,22576.8
2026-04-05T14:33:00Z,-25.28692,-51.30755,22822.2
2026-04-05T14:34:00Z,-25.28758,-51.31425,23067.6
2026-04-05T14:35:00Z,-25.28817,-51.32143,23313.0
2026-04-05T14:36:00Z,-25.28870,-51.32908,23558.4
2026-04-05T14:37:00Z,-25.28916,-51.33723,23803.8
2026-04-05T14:38:00Z,-25.28962,-51.34566,24049.2
2026-04-05T14:39:00Z,-25.29016,-51.35411,24294.6
2026-04-05T14:40:00Z,-25.29077,-51.36259,24540.0
2026-04-05T14:41:00Z,-25.29145,-51.37107,24785.4
2026-04-05T14:42:00Z,-25.29220,-51.37957,25030.8
2026-04-05T14:43:00Z,-25.29302,-51.38809,25276.2
2026-04-05T14:44:00Z,-25.29391,-51.39661,25521.6
2026-04-05T14:45:00Z,-25.29486,-51.40515,25767.0
2026-04-05T14:46:00Z,-25.29587,-51.41370,26012.4
2026-04-05T14:47:00Z,-25.29693,-51.42226,26257.8
2026-04-05T14:48:00Z,-25.29804,-51.43081,26503.2
2026-04-05T14:49:00Z,-25.29901,-51.43915,26748.6
2026-04-05T14:50:00Z,-25.29977,-51.44719,26994.0
2026-04-05T14:51:00Z,-25.30031,-51.45494,27239.4
2026-04-05T14:52:00Z,-25.30062,-51.46239,27484.8
