datetime,latitude,longitude,altitude
2026-04-06T13:00:00Z,-25.05520,-50.12820,1030.0
2026-04-06T13:01:00Z,-25.05614,-50.13062,1275.4
2026-04-06T13:02:00Z,-25.05763,-50.13322,1520.8
2026-04-06T13:03:00Z,-25.05980,-50.13543,1766.2
2026-04-06T13:04:00Z,-25.06229,-50.13684,2011.6
2026-04-06T13:05:00Z,-25.06487,-50.13770,2257.0
2026-04-06T13:06:00Z,-25.06762,-50.13824,2502.4
2026-04-06T13:07:00Z,-25.07067,-50.13856,2747.8
2026-04-06T13:08:00Z,-25.07392,-50.13886,2993.2
2026-04-06T13:09:00Z,-25.07731,-50.13901,3238.6
2026-04-06T13:10:00Z,-25.08077,-50.13891,3484.0
2026-04-06T13:11:00Z,-25.08416,-50.13851,3729.4
2026-04-06T13:12:00Z,-25.08740,-50.13792,3974.8
2026-04-06T13:13:00Z,-25.09041,-50.13726,4220.2
2026-04-06T13:14:00Z,-25.09320,-50.13673,4465.6
2026-04-06T13:15:00Z,-25.09576,-50.13645,4711.0
2026-04-06T13:16:00Z,-25.09807,-50.13648,4956.4
2026-04-06T13:17:00Z,-25.10004,-50.13679,5201.8
2026-04-06T13:18:00Z,-25.10154,-50.13738,5447.2
2026-04-06T13:19:00Z,-25.10251,-50.13824,5692.6
2026-04-06T13:20:00Z,-25.10299,-50.13932,5938.0
2026-04-06T13:21:00Z,-25.10306,-50.14050,6183.4
2026-04-06T13:22:00Z,-25.10278,-50.14173,6428.8
2026-04-06T13:23:00Z,-25.10220,-50.14314,6674.2
2026-04-06T13:24:00Z,-25.10137,-50.14458,6919.6
2026-04-06T13:25:00Z,-25.10037,-50.14576,7165.0
2026-04-06T13:26:00Z,-25.09919,-50.14604,7410.4
2026-04-06T13:27:00Z,-25.09783,-50.14502,7655.8
2026-04-06T13:28:00Z,-25.09634,-50.14362,7901.2
2026-04-06T13:29:00Z,-25.09474,-50.14228,8146.6
2026-04-06T13:30:00Z,-25.09286,-50.14115,8392.0
2026-04-06T13:31:00Z,-25.09063,-50.14028,8637.4
2026-04-06T13:32:00Z,-25.08804,-50.13957,8882.8
2026-04-06T13:33:00Z,-25.08511,-50.13894,9128.2
2026-04-06T13:34:00Z,-25.08197,-50.13810,9373.6
2026-04-06T13:35:00Z,-25.07872,-50.13682,9619.0
2026-04-06T13:36:00Z,-25.07548,-50.13505,9864.4
2026-04-06T13:37:00Z,-25.07247,-50.13265,10109.8
2026-04-06T13:38:00Z,-25.06970,-50.12963,10355.2
2026-04-06T13:39:00Z,-25.06710,-50.12636,10600.6
2026-04-06T13:40:00Z,-25.06464,-50.12295,10846.0
2026-04-06T13:41:00Z,-25.06235,-50.11921,11091.4
2026-04-06T13:42:00Z,-25.06031,-50.11458,11336.8
2026-04-06T13:43:00Z,-25.05853,-50.10903,11582.2
2026-04-06T13:44:00Z,-25.05682,-50.10262,11827.6
2026-04-06T13:45:00Z,-25.05489,-50.09542,12073.0
2026-04-06T13:46:00Z,-25.05271,-50.08744,12318.4
2026-04-06T13:47:00Z,-25.05017,-50.07890,12563.8
2026-04-06T13:48:00Z,-25.04697,-50.07035,12809.2
2026-04-06T13:49:00Z,-25.04311,-50.06181,13054.6
2026-04-06T13:50:00Z,-25.03863,-50.05333,13300.0
2026-04-06T13:51:00Z,-25.03401,-50.04507,13545.4
2026-04-06T13:52:00Z,-25.02940,-50.03707,13790.8
2026-04-06T13:53:00Z,-25.02480,-50.02934,14036.2
